Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Jones, B.M.","26034247100","The core and the periphery: The syntax of the welsh 'genitive of respect'",2008,"Journal of Celtic Linguistics",12,"",,39,86,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-61049409231&partnerID=40&md5=f7fe4a133fe2abec9534e9adff3da043",Review,Final,,Scopus,2-s2.0-61049409231
"Mees, B.","26036172200","Case and genre in Gaulish: From mont auxois to the pont d'ancy",2008,"Journal of Celtic Linguistics",12,"",,121,138,,5,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-61049372470&partnerID=40&md5=677feceb4e5153d13a979342b20e7229",Review,Final,,Scopus,2-s2.0-61049372470
"Awbery, G.M.","26034175300","Welsh place-names and the syntax-semantics interface",2008,"Journal of Celtic Linguistics",12,"",,1,16,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-61049344207&partnerID=40&md5=5c988ddb686f7ac7364405529e7c38e7",Article,Final,,Scopus,2-s2.0-61049344207
"McLeod, W.","57207612982","Linguistic pan-gaelicism: A dog that wouldn't hunt",2008,"Journal of Celtic Linguistics",12,"",,87,120,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-61049219731&partnerID=40&md5=75072d1381207e81c4aca1d8cc0bcac3",Review,Final,,Scopus,2-s2.0-61049219731
"Hernández, J.E.","35186096400","Present perfect semantics and usage in Salvadoran Spanish",2008,"Revista Internacional de Linguistica Iberoamericana",6,"2",,115,137,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-61049188468&partnerID=40&md5=1e686179ed2dce78b6f31245198203bf",Article,Final,,Scopus,2-s2.0-61049188468
"Jaskułe, K.","53563919200","Old Irish rhyming patterns and the origins of svarabhakti",2008,"Journal of Celtic Linguistics",11,"",,49,76,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60949522372&partnerID=40&md5=97e1c9db547276ee1abba88542cd5a30",Article,Final,,Scopus,2-s2.0-60949522372
"Epps, P.","15831460700","Hup's typological treasures: Description and explanation in the study of an Amazonian language",2008,"Linguistic Typology",12,"2",,169,193,,4,10.1515/LITY.2008.036,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60949521174&partnerID=40&md5=006cb4d4f1924a2cb1be9546e5058ffa",Article,Final,,Scopus,2-s2.0-60949521174
"Manning, P.","57205787936","A construction-based view of possessive and local case-marking in middle and modern welsh relative clauses",2008,"Journal of Celtic Linguistics",11,"",,77,130,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60949367412&partnerID=40&md5=7fef06cdf8fc81d3c2bbcb3325d19eb3",Article,Final,,Scopus,2-s2.0-60949367412
"Roberts, S.J., Bresnan, J.","55449048600; 23017732700","Retained inflectional morphology in pidgins: A typological study",2008,"Linguistic Typology",12,"2",,269,302,,17,10.1515/LITY.2008.039,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60949265854&partnerID=40&md5=4350d33e41a9dd3abbe26af1fc0cc5fc",Article,Final,,Scopus,2-s2.0-60949265854
"Van Gelderen, E.","8454534900","Negative cycles",2008,"Linguistic Typology",12,"2",,195,243,,40,10.1515/LITY.2008.037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60949239704&partnerID=40&md5=d90104df52bbddddce5cff7c8d0e9129",Article,Final,,Scopus,2-s2.0-60949239704
"Bloch-Trojnar, M.","53563233700","Verbs derived from agent nouns in modern Irish",2008,"Journal of Celtic Linguistics",11,"",,1,22,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60949210992&partnerID=40&md5=5ea7cab3f23724b52ecb38029d5620f2",Article,Final,,Scopus,2-s2.0-60949210992
"Kittilá, S.","14064878100","Animacy effects on differential goal marking",2008,"Linguistic Typology",12,"2",,245,268,,14,10.1515/LITY.2008.038,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60949145170&partnerID=40&md5=2cb01e1e52c1fe05e0bffc7ee387532a",Article,Final,,Scopus,2-s2.0-60949145170
"Dobrin, L.M.","28767602900","From linguistic elicitation to eliciting the linguist: Lessons in community empowerment from melanesia",2008,"Language",84,"2",,300,324,,41,10.1353/lan.0.0009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-60549105687&partnerID=40&md5=f3f8ab17cc1fe2425d36be7c8decb193",Article,Final,,Scopus,2-s2.0-60549105687
"Mishler, C.","57212173900","'That's a Rubbaboo': Slavey Jargon in a nineteenth century subarctic speech community",2008,"Journal of Pidgin and Creole Languages",23,"2",,264,287,,1,10.1075/jpcl.23.2.04mis,"https://www.scopus.com/inward/record.url?eid=2-s2.0-59849122427&partnerID=40&md5=5fee80467bd1e24c8bb9c92c86c89537",Article,Final,,Scopus,2-s2.0-59849122427
"Kim, R.I.","26027937400","California Chinese Pidgin English and its historical connections: Preliminary remarks",2008,"Journal of Pidgin and Creole Languages",23,"2",,329,344,,2,10.1075/jpcl.23.2.08kim,"https://www.scopus.com/inward/record.url?eid=2-s2.0-59849115565&partnerID=40&md5=9de33d4de9395fdaef9b891c1409ffc4",Article,Final,,Scopus,2-s2.0-59849115565
"Plag, I.","7801463099","Creoles as interlanguages: Syntactic structures",2008,"Journal of Pidgin and Creole Languages",23,"2",,307,328,,30,10.1075/jpcl.23.2.06pla,"https://www.scopus.com/inward/record.url?eid=2-s2.0-59849091787&partnerID=40&md5=75c912400d1d3567dd333017bcea635f",Article,Final,,Scopus,2-s2.0-59849091787
"Rajah-Carrim, A.","25637451700","Choosing a spelling system for Mauritian Creole",2008,"Journal of Pidgin and Creole Languages",23,"2",,193,226,,9,10.1075/jpcl.23.2.02raj,"https://www.scopus.com/inward/record.url?eid=2-s2.0-59849090735&partnerID=40&md5=2f8d81e75ae3f3813dbfac9783a99e5b",Article,Final,,Scopus,2-s2.0-59849090735
"Webb, E.R.","26028189900","Formalizing creole sound change: An optimality theoretic account",2008,"Journal of Pidgin and Creole Languages",23,"2",,227,263,,4,10.1075/jpcl.23.2.03rus,"https://www.scopus.com/inward/record.url?eid=2-s2.0-59849087689&partnerID=40&md5=ccb75e4ef56539bf303ad8aed6d87c4c",Article,Final,,Scopus,2-s2.0-59849087689
"Kwon, S.N., Zribi-Hertz, A.","26539974600; 26540716300","Differential function marking, case, and information structure: Evidence from korean",2008,"Language",84,"2",,258,299,,17,10.1353/lan.0.0005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-59249108251&partnerID=40&md5=c5e9118133d501ae226010d4e4967107",Article,Final,,Scopus,2-s2.0-59249108251
"Pérez Sabater, C., Turney, E., Fleta, B.M.","23976377300; 23977256400; 55620724900","Orality and literacy, formality and informality in email communication | Oralidad y escritura, formalidad e informalidad en la comunicación por correo electrónico",2008,"Iberica",15,"",,71,88,,19,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749143902&partnerID=40&md5=734cdad0d1ff1ddb256c0d87506da8e2",Article,Final,,Scopus,2-s2.0-57749143902
"Davidse, K., Brems, L., De Smedt, L.","24467348500; 24449438700; 26631768200","Type noun uses in the English NP: A case of right to left layering",2008,"International Journal of Corpus Linguistics",13,"2",,139,168,,23,10.1075/ijcl.13.2.02dav,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749143452&partnerID=40&md5=29adfd7ea5e7429d4dcb591b38982f4e",Article,Final,,Scopus,2-s2.0-57749143452
"Yamamoto, M.","56328928200","Language use in interlingual families: Do different languages make a difference?",2008,"International Journal of the Sociology of Language",,"189",,133,148,,4,10.1515/IJSL.2008.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749142332&partnerID=40&md5=edff47910b3c906565c9fe76bca41067",Article,Final,,Scopus,2-s2.0-57749142332
"Yamasaki, N.","36779324000","Collocations and colligations associated with discourse functions of unspecific anaphoric nouns",2008,"International Journal of Corpus Linguistics",13,"1",,75,98,,11,10.1075/ijcl.13.1.05yam,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749142135&partnerID=40&md5=948b19dcc5f1ae5f7cd7405792ab5e7c",Article,Final,,Scopus,2-s2.0-57749142135
"Salhi, Z.S.","26121446500","Between the languages of silence and the woman's word: Gender and language in the work of Assia Djebar",2008,"International Journal of the Sociology of Language",,"190",,79,101,,6,10.1515/IJSL.2008.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749141618&partnerID=40&md5=701997c56d07ba4f415869acd09379cf",Article,Final,,Scopus,2-s2.0-57749141618
"Fishman, J.A.","35483684500","Rethinking the Ausbau-Abstand dichotomy into a continuous and multivariate system",2008,"International Journal of the Sociology of Language",,"191",,17,26,,13,10.1515/IJSL.2008.022,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749141526&partnerID=40&md5=f1cda6f6197516ea164b2dd3ce2c18f9",Review,Final,,Scopus,2-s2.0-57749141526
"Kouega, J.-P.","8090755900","Minority language use in Cameroon and educated indigenes' attitude to their languages",2008,"International Journal of the Sociology of Language",,"189",,85,113,,2,10.1515/IJSL.2008.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749140852&partnerID=40&md5=00342960d6da051b3426be587692114d",Article,Final,,Scopus,2-s2.0-57749140852
"Laraudogoitia, J.P.","6602347551","The comic as a binary language. An hypothesis on comic structure",2008,"Journal of Quantitative Linguistics",15,"2",,111,135,,2,10.1080/09296170801961785,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749140437&partnerID=40&md5=18d01ac307747455d4c9b14c8f4524ad",Article,Final,,Scopus,2-s2.0-57749140437
"Katičić, R.","17434409800","On ""unified Serbo-Croatian"" and its ""new successor languages"": A case study of scholarly treatment",2008,"International Journal of the Sociology of Language",,"191",,27,44,,,10.1515/IJSL.2008.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749139796&partnerID=40&md5=618f8aefe2fb8f38b0a5fbc8fdaf4501",Review,Final,,Scopus,2-s2.0-57749139796
"Johnson, A.J.","56310403800","Changing stories: Achieving a change of state in suspect and witness knowledge through evaluation in political interviews with suspects and witnesses",2008,"Functions of Language",15,"1",,84,114,,6,10.1075/fol.15.1.06joh,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749139593&partnerID=40&md5=753e3eb5d5cdb697fa26a0b2f8ad48f4",Review,Final,,Scopus,2-s2.0-57749139593
"Huang, S.-L., Shih, Y.-Y., Chen, K.-J.","55615722900; 53870714000; 7410242775","Knowledge representation for comparative constructions in Extended-HowNet",2008,"Language and Linguistics",9,"2",,395,413,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-57749139543&partnerID=40&md5=4320b022e824d48c08ede20e88633581",Article,Final,,Scopus,2-s2.0-57749139543
